information_family,classification,databricks_evidence,lseg_evidence,overlap,complementary_value,true_gap,priority,pit_notes
weather,LSEG_ONLY,No weather tables in 21 Databricks datasets,"Current/recent temperature, precipitation, cloud, regime/cluster reports",No row-level historical overlap; current/reference only,Adds exogenous weather context but not PIT historical vintages,Historical PIT-safe NWP/weather vintages remain missing,P1,Issue/valid times are not reliably retained in tabular form.
load_demand,LSEG_ONLY,No load/demand table,Italy national hourly and seven-zone 15-minute historical demand,No overlap; unique Italy demand,Direct demand features and zonal structure,"CH/DE/FR/AT historical load, especially forecast vintages, remain missing",P1,Italy workbooks have delivery timestamps but no explicit publication vintages.
residual_load,LSEG_ONLY,No residual-load table,DE and FR/IT/CWE current/recent residual-load exports,No model-ready historical overlap,Derived demand-minus-renewables context,Historical PIT residual-load vintages for CH/DE/FR/IT remain missing,P1,Exports show current/recent Op/Ens context; not a long historical vintage panel.
hydro_storage,STILL_MISSING,No hydro/storage table,No usable hydro/storage time series; EDF outage records are nuclear-focused,No overlap,None material from retained files,"Swiss hydro reservoir, inflow, pumped-storage and availability series",P0,Must acquire structured historical observations and release metadata.
outages_availability,LSEG_ONLY,No outage/availability table,"French nuclear outage raw, PIT revision and daily features; REMIT disclosures",No overlap except generation geography,Strong French nuclear availability and revisions,"Non-French fleet, cross-border and renewable availability remain missing",P0,EDF PIT revision file is PIT_STRONG; raw history is weaker if versions are not fully retained.
prices_day_ahead,LSEG_ONLY,No price tables,FR and IT hourly/15-minute; CH and DE hourly files currently present,No overlap,Market price signals and neighbor spreads,Historical DE/CH 15-minute price panel and vintages remain incomplete,P0,Issue/publication timestamps not encoded; PIT is reconstructable only by schedule assumptions.
prices_forwards,STILL_MISSING,No forward-price tables,Three current cost-curve snapshots only,No historical panel overlap,Current cost-curve context only,Historical power forwards/short-dated curves with as-of timestamps,P1,Snapshots are not a reconstructable vintage history.
generation,BOTH,AT/CH/DE/FR/IT generation actual/forecast tables,No comparable model-ready historical generation panel; supply report is reference only,Topic-level overlap is weak; Databricks is primary tabular source,LSEG supply/weather reports may add current forecast context,Historical PIT generation forecast vintages remain missing,P0,Databricks fields current/day_ahead/intraday lack issue timestamps; PIT_WEAK.
wind,COMPLEMENTARY,Wind actual/forecast tables for AT/CH/DE/FR/IT,Current/recent Europe wind supply report,Databricks historical/tabular; LSEG current/reference,Current LSEG view plus weather context complements DB,PIT-safe historical regional wind forecast vintages,P1,No robust issue/valid tabular metadata in retained report.
solar,COMPLEMENTARY,Solar actual/forecast tables for AT/CH/DE/FR/IT,Current/recent supply and GB embedded-solar reports,Databricks historical/tabular; LSEG current/reference,Current LSEG view complements DB,PIT-safe historical solar forecast vintages,P1,GB report is not direct CH/DE/FR/IT coverage.
net_positions,DATABRICKS_ONLY,Net positions for AT/CH/DE/FR/IT,No LSEG tabular net-position export; screenshots are reference,No data overlap,Databricks is the usable source,Independent historical release/vintage metadata for net positions,P0,Databricks has valid timestamp only; CURRENT_ONLY.
cross_border_flows,DATABRICKS_ONLY,Directed exchanges across CH/AT/DE/FR/IT links,LSEG graph screenshots/reports expose selectors but not reliable row-level values,Reference-only overlap,LSEG helps interpret graph semantics,Reliable PIT historical schedules/flows for CH links and publication times,P0,Do not interpret graph 0.00 as confirmed zero.
NTC_ATC_capacity,COMPLEMENTARY,Monthly/hourly CH border NTC table,LSEG screenshots show capacity directions only,Weak visual overlap,"Context for capacity direction, not values",Reliable historical ATC/NTC vintages for all relevant borders,P0,Databricks NTC has no issue/publication/revision fields; PIT_WEAK.
forecast_vintages_revisions,COMPLEMENTARY,Forecast-like generation fields without issue/publication timestamps,EDF outage revisions are strong; price/demand PIT is reconstructable; weather/residual current only,Complementary rather than same rows,LSEG supplies strongest revision history in EDF outages,Release-time metadata for DB forecasts and historical LSEG weather/residual vintages,P0,Do not infer PIT semantics beyond explicit fields.
news_events,LSEG_ONLY,No news/event table,EDF transparency/REMIT published messages,No overlap,Published operational event disclosures,Broader market/news/events and structured event taxonomy,P2,Message publication present; valid intervals may require parsing text.
country_zone_coverage,COMPLEMENTARY,DB covers AT/CH/DE/FR/IT for generation/net position/flows/NTC,"LSEG covers FR/IT prices and IT demand, FR nuclear, multi-country current weather; CH/DE price hourly present","Coverage complements by topic, not by uniform PIT panel",Broader exogenous-market coverage,"Uniform CH/DE/FR/IT/AT historical load, weather, outages, prices and vintages",P0,Coverage is family-specific; do not assume one file covers all countries.
